First Name,Last Name,Position,Season Type,From,To,G,GS,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,,G,GS,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS
Kadeem,Allen,G,Regular Season,(2017-18),(2019-20),47,2,640,90,207,43%,22,63,35%,56,74,76%,14,57,71,109,24,8,43,68,258,,---,---,13.62,1.91,4.40,43%,0.47,1.34,35%,1.19,1.57,76%,0.30,1.21,1.51,2.32,0.51,0.17,0.91,1.45,5.49
Tony,Allen,G,Regular Season,(2004-05),(2017-18),820,441,"18,055","2,588","5,447",48%,125,444,28%,"1,353","1,909",71%,"1,021","1,863","2,884","1,077","1,158",337,"1,118","1,947","6,654",,---,---,22.02,3.16,6.64,48%,0.15,0.54,28%,1.65,2.33,71%,1.25,2.27,3.52,1.31,1.41,0.41,1.36,2.37,8.11
Lavoy,Allen,F,Regular Season,(2011-12),(2016-17),388,87,"6,905",828,"1,758",47%,2,15,13%,189,277,68%,715,"1,129","1,844",384,120,214,257,706,"1,847",,---,---,17.80,2.13,4.53,47%,0.01,0.04,13%,0.49,0.71,68%,1.84,2.91,4.75,0.99,0.31,0.55,0.66,1.82,4.76
Ray,Allen,G,Regular Season,(1996-97),(2013-14),"1,300","1,149","46,344","8,567","18,955",45%,"2,973","7,429",40%,"4,398","4,920",89%,"1,230","4,042","5,272","4,361","1,451",244,"2,709","2,858","24,505",,---,---,35.65,6.59,14.58,45%,2.29,5.71,40%,3.38,3.78,89%,0.95,3.11,4.06,3.35,1.12,0.19,2.08,2.20,18.85
Malik,Allen,F,Regular Season,(2001-02),(2010-11),478,125,"7,262","1,039","2,365",44%,3,16,19%,253,325,78%,466,887,"1,353",228,130,220,320,897,"2,334",,---,---,15.19,2.17,4.95,44%,0.01,0.03,19%,0.53,0.68,78%,0.97,1.86,2.83,0.48,0.27,0.46,0.67,1.88,4.88
Jerome,Allen,G,Regular Season,(1995-96),(1996-97),117,1,"1,305",114,326,35%,40,126,32%,68,108,63%,30,93,123,201,52,9,103,126,336,,---,---,11.15,0.97,2.79,35%,0.34,1.08,32%,0.58,0.92,63%,0.26,0.79,1.05,1.72,0.44,0.08,0.88,1.08,2.87
Randy,Allen,F,Regular Season,(1988-89),(1989-90),70,6,789,114,258,44%,0,8,0%,24,45,53%,52,93,145,23,17,20,30,109,252,,---,---,11.27,1.63,3.69,44%,0.00,0.11,0%,0.34,0.64,53%,0.74,1.33,2.07,0.33,0.24,0.29,0.43,1.56,3.60
Lucius,Allen,G,Regular Season,(1969-70),(1978-79),702,,"20,159","3,884","8,385",46%,---,---,---,"1,639","2,157",76%,381,928,"2,205","3,174",604,124,247,"1,799","9,407",,---,---,28.72,5.53,11.94,46%,---,---,---,2.33,3.07,76%,0.54,1.32,3.14,4.52,0.86,0.18,0.35,2.56,13.40
Bob,Allen,F,Regular Season,(1968-69),(1968-69),27,---,232,14,43,33%,---,---,---,20,36,56%,---,---,56,10,---,---,---,27,48,,---,---,8.59,0.52,1.59,33%,---,---,---,0.74,1.33,56%,---,---,2.07,0.37,---,---,---,1.00,1.78
Odis,Allison,F,Regular Season,(1971-72),(1971-72),36,,166,17,78,22%,---,---,---,33,61,54%,---,---,45,10,---,---,---,34,67,,---,---,4.61,0.47,2.17,22%,---,---,---,0.92,1.69,54%,---,---,1.25,0.28,---,---,---,0.94,1.86
Lance,Allred,C,Regular Season,(2007-08),(2007-08),3,0,10,1,4,25%,0,0,,1,2,50%,0,1,1,0,0,0,0,1,3,,---,---,3.33,0.33,1.33,25%,0.00,0.00,,0.33,0.67,50%,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.33,1.00
Darrell,Allums,F,Regular Season,(1980-81),(1980-81),22,,276,23,67,34%,0,1,0%,13,22,59%,19,46,65,25,5,8,23,51,59,,---,---,12.55,1.05,3.05,34%,0.00,0.05,0%,0.59,1.00,59%,0.86,2.09,2.95,1.14,0.23,0.36,1.05,2.32,2.68
Morris,Almond,G,Regular Season,(2007-08),(2011-12),38,1,361,43,113,38%,7,24,29%,26,35,74%,10,36,46,12,12,4,19,42,119,,---,---,9.50,1.13,2.97,38%,0.18,0.63,29%,0.68,0.92,74%,0.26,0.95,1.21,0.32,0.32,0.11,0.50,1.11,3.13
Rafer,Alston,G,Regular Season,(1999-00),(2009-10),671,452,"19,392","2,450","6,391",38%,996,"2,815",35%,903,"1,238",73%,247,"1,644","1,891","3,202",813,105,"1,195","1,408","6,799",,---,---,28.90,3.65,9.52,38%,1.48,4.20,35%,1.35,1.85,73%,0.37,2.45,2.82,4.77,1.21,0.16,1.78,2.10,10.13
Derrick,Alston,F,Regular Season,(1994-95),(1996-97),139,42,"2,657",318,650,49%,1,7,14%,114,234,49%,228,297,525,94,95,87,112,298,751,,---,---,19.12,2.29,4.68,49%,0.01,0.05,14%,0.82,1.68,49%,1.64,2.14,3.78,0.68,0.68,0.63,0.81,2.14,5.40
Peter,Aluma,C,Regular Season,(1998-99),(1998-99),2,0,5,1,2,50%,0,0,,0,0,,1,1,2,0,1,1,2,4,2,,---,---,2.50,0.50,1.00,50%,0.00,0.00,,0.00,0.00,,0.50,0.50,1.00,0.00,0.50,0.50,1.00,2.00,1.00
John,Amaechi,C-F,Regular Season,(1995-96),(2002-03),294,93,"4,811",663,"1,646",40%,1,13,8%,510,760,67%,230,542,772,228,90,94,386,499,"1,837",,---,---,16.36,2.26,5.60,40%,0.00,0.04,8%,1.73,2.59,67%,0.78,1.84,2.63,0.78,0.31,0.32,1.31,1.70,6.25
Ashraf,Amaya,F,Regular Season,(1995-96),(1996-97),85,34,"1,248",133,292,46%,1,2,50%,112,177,63%,133,222,355,36,29,13,67,180,379,,---,---,14.68,1.56,3.44,46%,0.01,0.02,50%,1.32,2.08,63%,1.56,2.61,4.18,0.42,0.34,0.15,0.79,2.12,4.46
Al-Farouq,Aminu,F,Regular Season,(2010-11),(2019-20),688,431,"17,264","1,910","4,543",42%,535,"1,598",33%,893,"1,199",74%,960,"3,210","4,170",848,660,388,835,"1,273","5,248",,---,---,25.09,2.78,6.60,42%,0.78,2.32,33%,1.30,1.74,74%,1.40,4.67,6.06,1.23,0.96,0.56,1.21,1.85,7.63
Louis,Amundson,F,Regular Season,(2006-07),(2015-16),428,42,"5,507",648,"1,368",47%,0,3,0%,268,603,44%,644,897,"1,541",190,152,306,299,835,"1,564",,---,---,12.87,1.51,3.20,47%,0.00,0.01,0%,0.63,1.41,44%,1.50,2.10,3.60,0.44,0.36,0.71,0.70,1.95,3.65
Bob,Anderegg,F-G,Regular Season,(1959-60),(1959-60),33,---,373,55,143,38%,---,---,---,23,42,55%,---,---,69,29,---,---,---,32,133,,---,---,11.30,1.67,4.33,38%,---,---,---,0.70,1.27,55%,---,---,2.09,0.88,---,---,---,0.97,4.03
Chris,Andersen,F,Regular Season,(2001-02),(2016-17),695,45,"12,273","1,336","2,512",53%,15,68,22%,"1,068","1,632",65%,"1,176","2,317","3,493",337,312,991,513,"1,342","3,755",,---,---,17.66,1.92,3.61,53%,0.02,0.10,22%,1.54,2.35,65%,1.69,3.33,5.03,0.48,0.45,1.43,0.74,1.93,5.40
David,Andersen,C,Regular Season,(2009-10),(2010-11),103,0,"1,264",203,461,44%,35,101,35%,60,89,67%,74,218,292,57,20,21,59,159,501,,---,---,12.27,1.97,4.48,44%,0.34,0.98,35%,0.58,0.86,67%,0.72,2.12,2.83,0.55,0.19,0.20,0.57,1.54,4.86
Ryan,Anderson,F,Regular Season,(2008-09),(2019-20),649,289,"16,769","2,756","6,534",42%,"1,326","3,492",38%,"1,166","1,366",85%,"1,247","2,166","3,413",586,333,217,606,"1,263","8,004",,---,---,25.84,4.25,10.07,42%,2.04,5.38,38%,1.80,2.10,85%,1.92,3.34,5.26,0.90,0.51,0.33,0.93,1.95,12.33
Kyle,Anderson,G-F,Regular Season,(2014-15),(2019-20),367,168,"7,212",800,"1,638",49%,82,264,31%,309,442,70%,253,"1,203","1,456",735,349,196,326,525,"1,991",,---,---,19.65,2.18,4.46,49%,0.22,0.72,31%,0.84,1.20,70%,0.69,3.28,3.97,2.00,0.95,0.53,0.89,1.43,5.43
